id	claim	source_url	source_locator	status
04-senseye-ingestion	Siemens describes Senseye machine data as data used for predictive-maintenance purposes and documents ingestion by API, MQTT, email, S3/Azure Blob Storage or historian; ordinary time-series input is capped at 1 Hz, while vibration waveforms and spectra are supported.	https://developer.siemens.com/senseye/machine/index.html	excerpts/04-senseye-ingestion.txt — Machine Data; Time Series Data; Vibration Data	checked-by:codex:2026-09-03
04-senseye-work-events	Senseye work events require timestamp, message, asset, routine flag and activity; failure mode is optional, and Siemens says work timing lets the system relate degradation and intervention.	https://developer.siemens.com/senseye/workorders/structure.html	excerpts/04-senseye-work-events.txt — Structure; Timestamp; Failure Mode	checked-by:codex:2026-09-03
04-augury-bundle	Augury describes a platform combining industrial sensors, AI diagnostics, expert services and CMMS/EAM workflow integration; it says industrial-grade IoT is included in every subscription and markets coverage across more than 200 asset types.	https://www.augury.com/machine-health/	excerpts/04-augury-bundle.txt — The Augury Difference; Machine Health 360°; Critical; FAQ	checked-by:codex:2026-09-03
04-skf-bundle	SKF describes CMMS/EAM-connected condition-monitoring software, data collection by customer/service partner/SKF, certified remote analysts and subscription access.	https://cdn.skfmediahub.skf.com/api/public/0901d1968043cda1/pdf_preview_medium/0901d1968043cda1_pdf_preview_medium.pdf	excerpts/04-skf-bundle.txt — PDF page 4 (printed page 7), Software systems; Remote diagnostic services	checked-by:codex:2026-09-03
04-maximo-bundle	IBM Maximo APM combines condition data, asset history, failure patterns, reliability workflows and recommended actions in an enterprise asset suite.	https://www.ibm.com/products/maximo/asset-performance-management	excerpts/04-maximo-bundle.txt — Built for modern maintenance operations; AI agents	checked-by:codex:2026-09-03
04-spie-offer	SPIE Nederland presents machine maintenance and asset-management services, maintenance-system work and a partnership with IFS Ultimo.	https://www.spie-nl.com/oplossing/maintenance-solutions	excerpts/04-spie-offer.txt — Machine- en procesonderhoud; Kennispartner; Als partners vooruit; IFS Ultimo news card	checked-by:codex:2026-09-03
04-eriks-offer	ERIKS describes Smart Asset Management using sensors and data analysis to provide real-time insight across a machine fleet.	https://eriks.com/be/nl/oplossingen/engineering-maatwerkoplossingen/tco-total-cost-of-ownership	excerpts/04-eriks-offer.txt — Smart Asset Management	checked-by:codex:2026-09-03
04-vibro-offer	VIBRO offers condition monitoring including telemonitoring, vibration analysis, maintenance advice and sensor/equipment calibration.	https://vibro.nl/en/	excerpts/04-vibro-offer.txt — VIBRO Services	checked-by:codex:2026-09-03
04-istec-offer	Istec describes vibration-monitoring hardware, certified vibration experts and data-analysis services.	https://www.istec.com/	excerpts/04-istec-offer.txt — Homepage, Vibration	checked-by:codex:2026-09-03
04-excel-pdf-substitute	Microsoft documents that Excel workbooks can be saved in PDF format, supporting the essay's identification of Excel workbooks and PDF exports as an existing reporting substitute.	https://support.microsoft.com/en-us/office/save-a-workbook-in-another-file-format-6a16c862-4a36-48f9-a300-c2ca0065286e	excerpts/04-excel-pdf-substitute.txt — Save a workbook in another file format; Other file formats	checked-by:codex:2026-09-03
04-influx-grafana-substitute	Grafana documents a built-in InfluxDB data source and dashboards that visualize InfluxDB data; the essay infers that this kind of stack plus PDFs may be sufficient at the low end.	https://grafana.com/docs/grafana/latest/datasources/influxdb/	excerpts/04-influx-grafana-substitute.txt — InfluxDB data source; Additional features	inference
04-vibration-certification	Mobius Institute Board of Certification defines Vibration Analysis Category III and IV certifications and requires training, an exam, practical experience and prior lower-category certification for each.	https://www.mobiusinstitute.com/certification/certification-requirements/	excerpts/04-vibration-certification.txt — Condition Monitoring Certifications, Vibration Analysis CAT-III and CAT-IV	checked-by:codex:2026-09-03
