id	claim	source_url	source_locator	status
01-cra-scope	The CRA covers products with digital elements with a direct or indirect data connection, regulates design/development/production and vulnerability handling, and can apply alongside the Machinery Regulation.	https://eur-lex.europa.eu/eli/reg/2024/2847/oj/eng	excerpts/01-cra-scope.txt — Article 1(a)-(c), Article 2(1), recital 53	checked-by:codex:2026-09-03
01-cra-dates	CRA vulnerability and incident reporting applies from 11 September 2026, with 24-hour early warning, 72-hour notification and a vulnerability final report within 14 days after a corrective or mitigating measure is available; main obligations apply from 11 December 2027.	https://eur-lex.europa.eu/eli/reg/2024/2847/oj/eng	excerpts/01-cra-dates.txt — Article 14(1)-(4), Article 71(2)	checked-by:codex:2026-09-03
01-srp	ENISA says the Single Reporting Platform will be used by manufacturers and CSIRTs for mandatory CRA reporting from 11 September 2026.	https://www.enisa.europa.eu/topics/product-security/single-reporting-platform-srp	excerpts/01-srp.txt — “Single Reporting Platform (SRP)” overview	checked-by:codex:2026-09-03
01-cra-lifecycle	Manufacturers must document cybersecurity aspects and vulnerabilities, update risk assessments where appropriate, operate vulnerability disclosure, handle vulnerabilities through a support period normally at least five years, and keep technical documentation updated where appropriate during that period; industrial products are often used longer.	https://eur-lex.europa.eu/eli/reg/2024/2847/oj/eng	excerpts/01-cra-lifecycle.txt — recital 60; Article 13(3), (8); Article 31(2); Annex I Part II(1), (5); Annex VII(2)	checked-by:codex:2026-09-03
01-data-scope	The Data Act definition of connected product covers products collecting use or environmental data, able to communicate product data, and not primarily storing or transmitting data for another party.	https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng	excerpts/01-data-scope.txt — Article 2(5)	checked-by:codex:2026-09-03
01-data-examples	The European Commission gives robots and industrial machines as examples of connected products under the Data Act.	https://digital-strategy.ec.europa.eu/en/factpages/data-act-explained	excerpts/01-data-examples.txt — Chapter II, “Examples of connected products”	checked-by:codex:2026-09-03
01-data-duty	Data Act Article 3 requires accessible product/related-service data and metadata by design plus pre-contract information; Article 4 requires readily available data on simple electronic request where feasible when it is not directly accessible.	https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng	excerpts/01-data-duty.txt — Articles 3(1)-(3), 4(1)	checked-by:codex:2026-09-03
01-data-dates	The Data Act applies generally from 12 September 2025; Article 3(1) applies to connected products and related services placed on the market after 12 September 2026.	https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng	excerpts/01-data-dates.txt — Article 50	checked-by:codex:2026-09-03
01-data-secrets	The Data Act requires measures and written substantiation around withholding or suspending access to trade-secret data and notification of the competent authority in defined cases.	https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng	excerpts/01-data-secrets.txt — Articles 4(6)-(9), 5(9)-(12)	checked-by:codex:2026-09-03
01-survey-sample	A 2024 qualitative survey covered seven large industrial-equipment manufacturers and five consultancies/partners, mostly Northern European and recruited partly through a compliance-automation research project; all manufacturer participants already had an IEC 62443-4-1-aligned SDL.	https://arxiv.org/html/2505.14325v2	excerpts/01-survey-sample.txt — Section 4, “Study Design” and “Limitations”	checked-by:codex:2026-09-03
01-survey-pain	Survey participants described organisational ownership, SDL enforcement, update management, expertise, vulnerability management and the notification deadline as challenges, with organisational/procedural issues often harder than technical controls.	https://arxiv.org/html/2505.14325v2	excerpts/01-survey-pain.txt — Section 5, “Challenges”	checked-by:codex:2026-09-03
01-survey-budget	In the twelve-organisation survey, 50% expected cost impacts below 20%, 25% no cost impact and 50% no role changes; the authors say existing-resource compliance is one possible explanation.	https://arxiv.org/html/2505.14325v2	excerpts/01-survey-budget.txt — Section 5, “Cost Impact and Organizational Changes”	checked-by:codex:2026-09-03
01-onekey	ONEKEY markets an industrial product-security platform with SBOM analysis, vulnerability monitoring, impact assessment, compliance workflow and consulting.	https://www.onekey.com/platform-overview	excerpts/01-onekey.txt — platform overview, “Expert Guidance” and features	checked-by:codex:2026-09-03
01-cybellum	Cybellum markets a product-security platform covering SBOMs, product risk, vulnerabilities, incident response and regulatory evidence.	https://cybellum.com/platform/	excerpts/01-cybellum.txt — “The Product Security Platform” and lifecycle features	checked-by:codex:2026-09-03
01-cracowi	CRACoWi is an EU-funded project with a stated value of €8,443,840.80, running September 2024-August 2027 to develop CRA support for SMEs, manufacturers, distributors and importers, including automated assessments and documentation.	https://www.onekey.com/cracowi	excerpts/01-cracowi.txt — project introduction, timeline/funding and summary	checked-by:codex:2026-09-03
01-standards	CEN and CENELEC's 2026 programme says CRA horizontal/vulnerability standards and industrial profiles remain in development, with key work targeted for the end of 2026.	https://wp2026.cencenelec.eu/sectors-list/digital-society/	excerpts/01-standards.txt — “Cybersecurity and Data Protection”, JTC 13 and TC 65X	checked-by:codex:2026-09-03
